File_Name,Min_Value,Max_Value,Mean_Value
img_10_slice_142.npy,-1000,1637,-669.934175
img_10_slice_143.npy,-1000,1611,-670.15489375
img_10_slice_144.npy,-1000,1657,-670.2411125
img_10_slice_145.npy,-1000,1726,-670.13263125
img_10_slice_146.npy,-1000,1716,-670.5533875
img_10_slice_147.npy,-1000,1706,-670.762975
img_10_slice_148.npy,-1000,1696,-670.83715625
img_10_slice_149.npy,-1000,1697,-670.77956875
img_10_slice_15.npy,-1000,2976,-599.49178125
img_10_slice_150.npy,-1000,1705,-670.5180125
img_10_slice_151.npy,-1000,1731,-670.92486875
img_10_slice_152.npy,-1000,1757,-671.12925
img_10_slice_153.npy,-1000,1783,-671.19765625
img_10_slice_154.npy,-1000,1809,-671.12189375
img_10_slice_155.npy,-1000,1959,-670.83473125
img_10_slice_156.npy,-1000,1826,-670.98304375
img_10_slice_157.npy,-1000,1818,-670.92060625
img_10_slice_158.npy,-1000,1809,-670.7162375
img_10_slice_159.npy,-1000,1800,-670.36710625
img_10_slice_16.npy,-1000,2976,-597.98425
img_10_slice_160.npy,-1000,1971,-669.8160125
img_10_slice_161.npy,-1000,1717,-670.2762
img_10_slice_162.npy,-1000,1708,-670.5303625
img_10_slice_163.npy,-1000,1867,-670.6306875
img_10_slice_164.npy,-1000,2097,-670.5861625
img_10_slice_165.npy,-1000,2326,-670.34610625
img_10_slice_166.npy,-1000,1930,-670.4510875
img_10_slice_167.npy,-1000,1627,-670.3574375
img_10_slice_168.npy,-1000,1639,-670.12709375
img_10_slice_169.npy,-1000,1690,-669.76970625
img_10_slice_17.npy,-1000,2976,-596.18055
img_10_slice_170.npy,-1000,1741,-669.21981875
img_10_slice_171.npy,-1000,1703,-668.8028625
img_10_slice_172.npy,-1000,1695,-668.18419375
img_10_slice_173.npy,-1000,1714,-667.42961875
img_10_slice_174.npy,-1000,1732,-666.53439375
img_10_slice_175.npy,-1000,1904,-665.43653125
img_10_slice_176.npy,-1000,1771,-665.35326875
img_10_slice_177.npy,-1000,1791,-665.06324375
img_10_slice_178.npy,-1000,1819,-664.6323375
img_10_slice_179.npy,-1000,1855,-664.0555375
img_10_slice_18.npy,-1000,2976,-594.1843125
img_10_slice_180.npy,-1000,1974,-663.28464375
img_10_slice_181.npy,-1000,1881,-664.36053125
img_10_slice_182.npy,-1000,1870,-665.2335375
img_10_slice_183.npy,-1000,1859,-665.95610625
img_10_slice_184.npy,-1000,1848,-666.53283125
img_10_slice_185.npy,-1000,1866,-666.90221875
img_10_slice_186.npy,-1000,1873,-668.16946875
img_10_slice_187.npy,-1000,1879,-669.23075625
img_10_slice_188.npy,-1000,1885,-670.151475
img_10_slice_189.npy,-1000,1891,-670.93995
img_10_slice_19.npy,-1000,2976,-592.0003625
img_10_slice_190.npy,-1000,1900,-671.5517875
img_10_slice_191.npy,-1000,1809,-672.01436875
img_10_slice_192.npy,-1000,1771,-672.2800375
img_10_slice_193.npy,-1000,1733,-672.41254375
img_10_slice_194.npy,-1000,1749,-672.417175
img_10_slice_195.npy,-1000,1788,-672.23730625
img_10_slice_196.npy,-1000,1728,-672.66216875
img_10_slice_197.npy,-1000,1697,-672.8965875
img_10_slice_198.npy,-1000,1688,-672.99485
img_10_slice_199.npy,-1000,1733,-672.94916875
img_10_slice_2.npy,-1000,2246,-655.69716875
img_10_slice_20.npy,-1000,2976,-589.4962625
img_10_slice_200.npy,-1000,1778,-672.71471875
img_10_slice_201.npy,-1000,1789,-673.7141875
img_10_slice_202.npy,-1000,1822,-674.5309
img_10_slice_203.npy,-1000,1855,-675.2054625
img_10_slice_204.npy,-1000,1888,-675.7334125
img_10_slice_205.npy,-1000,1921,-676.06713125
img_10_slice_206.npy,-1000,1919,-677.36123125
img_10_slice_207.npy,-1000,1916,-678.4705625
img_10_slice_208.npy,-1000,1914,-679.44279375
img_10_slice_209.npy,-1000,1912,-680.27086875
img_10_slice_21.npy,-1000,2976,-589.0294625
img_10_slice_210.npy,-1000,1928,-680.90860625
img_10_slice_211.npy,-1000,1891,-682.4844125
img_10_slice_212.npy,-1000,1857,-683.87423125
img_10_slice_213.npy,-1000,1866,-685.1311625
img_10_slice_214.npy,-1000,1883,-686.2608625
img_10_slice_215.npy,-1000,1899,-687.21626875
img_10_slice_216.npy,-1000,1782,-688.4302125
img_10_slice_217.npy,-1000,1699,-689.46089375
img_10_slice_218.npy,-1000,1704,-690.364725
img_10_slice_219.npy,-1000,1743,-691.13488125
img_10_slice_22.npy,-1000,2976,-588.2611375
img_10_slice_220.npy,-1000,1828,-691.72211875
img_10_slice_221.npy,-1000,1664,-692.44431875
img_10_slice_222.npy,-1000,1627,-692.99508125
img_10_slice_223.npy,-1000,1625,-693.41275625
img_10_slice_224.npy,-1000,1660,-693.6982375
img_10_slice_225.npy,-1000,1764,-693.79794375
img_10_slice_226.npy,-1000,1673,-694.8912875
img_10_slice_227.npy,-1000,1647,-695.81369375
img_10_slice_228.npy,-1000,1682,-696.6034125
img_10_slice_229.npy,-1000,1717,-697.2695625
img_10_slice_23.npy,-1000,2976,-587.29369375
img_10_slice_230.npy,-1000,1802,-697.7595
img_10_slice_231.npy,-1000,1672,-697.62634375
img_10_slice_232.npy,-1000,1625,-697.31445
img_10_slice_233.npy,-1000,1653,-696.8686875
img_10_slice_234.npy,-1000,1681,-696.3024625
img_10_slice_235.npy,-1000,1763,-695.56470625
